day,can
2/1/20,8
3/1/20,10
4/1/20,11
5/1/20,9
6/1/20,13
7/1/20,15
8/1/20,15
9/1/20,16
10/1/20,28
11/1/20,20
12/1/20,12
13/1/20,15
14/1/20,18
15/1/20,17
16/1/20,16
17/1/20,16
18/1/20,14
19/1/20,10
20/1/20,17
21/1/20,11
22/1/20,15
23/1/20,16
24/1/20,12
25/1/20,15
26/1/20,9
27/1/20,13
28/1/20,14
29/1/20,12
30/1/20,11
31/1/20,14
1/2/20,11
2/2/20,8
3/2/20,15
4/2/20,11
5/2/20,16
6/2/20,16
7/2/20,12
8/2/20,14
9/2/20,8
10/2/20,12
11/2/20,15
12/2/20,16
13/2/20,15
14/2/20,11
15/2/20,10
16/2/20,9
17/2/20,14
18/2/20,14
19/2/20,13
20/2/20,13
21/2/20,13
22/2/20,8
23/2/20,10
24/2/20,12
25/2/20,14
26/2/20,14
27/2/20,12
28/2/20,11
29/2/20,12
1/3/20,9
2/3/20,11
3/3/20,13
4/3/20,17
5/3/20,13
6/3/20,12
7/3/20,11
8/3/20,8
9/3/20,9
10/3/20,13
11/3/20,15
12/3/20,12
13/3/20,6
14/3/20,13
15/3/20,14
16/3/20,17
17/3/20,29
18/3/20,51
19/3/20,100
20/3/20,60
21/3/20,60
22/3/20,64
23/3/20,51
24/3/20,54
25/3/20,44
26/3/20,41
27/3/20,40
28/3/20,39
29/3/20,33
30/3/20,29