day,bd
2/1/20,19
3/1/20,18
4/1/20,18
5/1/20,21
6/1/20,21
7/1/20,23
8/1/20,21
9/1/20,20
10/1/20,32
11/1/20,22
12/1/20,16
13/1/20,21
14/1/20,21
15/1/20,22
16/1/20,23
17/1/20,18
18/1/20,18
19/1/20,15
20/1/20,22
21/1/20,22
22/1/20,19
23/1/20,19
24/1/20,21
25/1/20,18
26/1/20,17
27/1/20,18
28/1/20,20
29/1/20,17
30/1/20,21
31/1/20,18
1/2/20,15
2/2/20,15
3/2/20,21
4/2/20,21
5/2/20,21
6/2/20,18
7/2/20,18
8/2/20,13
9/2/20,17
10/2/20,18
11/2/20,21
12/2/20,17
13/2/20,21
14/2/20,18
15/2/20,18
16/2/20,18
17/2/20,23
18/2/20,21
19/2/20,23
20/2/20,20
21/2/20,20
22/2/20,16
23/2/20,14
24/2/20,20
25/2/20,20
26/2/20,20
27/2/20,20
28/2/20,18
29/2/20,20
1/3/20,15
2/3/20,18
3/3/20,20
4/3/20,20
5/3/20,20
6/3/20,18
7/3/20,18
8/3/20,15
9/3/20,17
10/3/20,16
11/3/20,19
12/3/20,18
13/3/20,18
14/3/20,19
15/3/20,18
16/3/20,21
17/3/20,37
18/3/20,56
19/3/20,100
20/3/20,70
21/3/20,62
22/3/20,54
23/3/20,67
24/3/20,55
25/3/20,49
26/3/20,47
27/3/20,47
28/3/20,47
29/3/20,41
30/3/20,40